n,pattern,height,avg_depth,balance_height,balance_size
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
15000,descending,8502,3603,0.370502,0.370502
20000,random,32,17,0.5,0.53913
20000,random,32,16,0.542373,0.530973
20000,random,31,16,0.415094,0.41
20000,random,31,16,0.508197,0.508621
20000,random,33,18,0.0833333,0.0655738
20000,random,37,17,0.569231,0.643564
20000,random,32,16,0.438596,0.411215
20000,random,35,17,0.564516,0.523364
20000,random,35,18,0.583333,0.546296
20000,random,32,16,0.492063,0.469027
20000,random,32,16,0.52459,0.560748
20000,random,34,16,0.548387,0.564815
20000,random,29,16,0.5,0.471698
20000,random,38,18,0.424242,0.449153
