n,collision_rate,pattern,height,avg_depth,balance_height,balance_size
100000,0.01,ascending,50,22,0.462366,0.481013
100000,0.01,ascending,50,24,0.510204,0.48227
100000,0.1,ascending,38,20,0.472222,0.477273
100000,0.1,ascending,38,19,0.520548,0.512
100000,0.1,ascending,46,21,0.417722,0.445255
100000,0.1,ascending,39,19,0.48,0.449275
100000,0.1,ascending,42,24,0.322581,0.346154
100000,0.1,ascending,41,21,0.414286,0.439024
100000,0.1,ascending,41,21,0.554054,0.52381
100000,0.1,ascending,44,23,0.413333,0.409091
100000,0.1,ascending,38,20,0.506667,0.542373
100000,0.1,ascending,41,21,0.460526,0.433824
100000,0.1,ascending,43,22,0.328125,0.414894
100000,0.1,ascending,39,22,0.390625,0.436893
100000,0.1,ascending,39,20,0.472973,0.456693
100000,0.1,ascending,39,21,0.390625,0.342342
100000,0.1,ascending,39,19,0.52,0.503817
100000,0.1,ascending,46,23,0.522727,0.479167
100000,0.1,ascending,44,24,0.463415,0.512195
100000,0.1,ascending,40,21,0.452055,0.533898
100000,0.1,ascending,39,20,0.465753,0.421488
100000,0.1,ascending,38,19,0.527778,0.5
100000,0.1,ascending,40,20,0.466667,0.453901
100000,0.1,ascending,39,19,0.493506,0.496644
100000,0.1,ascending,42,20,0.493976,0.468531
100000,0.1,ascending,40,20,0.487179,0.542636
100000,0.1,ascending,41,21,0.460526,0.485075
100000,0.1,ascending,41,22,0.453333,0.432
100000,0.1,ascending,46,24,0.676471,0.637931
100000,0.1,ascending,46,23,0.621622,0.630252
100000,0.1,ascending,50,25,0.324324,0.383333
100000,0.1,ascending,41,20,0.4875,0.5
100000,0.1,ascending,43,20,0.441558,0.439716
100000,0.1,ascending,43,21,0.385714,0.429752
100000,0.1,ascending,41,21,0.438356,0.484375
100000,0.1,ascending,42,21,0.56,0.559701
100000,0.1,ascending,42,20,0.44,0.431655
100000,0.1,ascending,38,19,0.493333,0.488889
100000,0.1,ascending,42,21,0.538462,0.532787
100000,0.1,ascending,39,20,0.434783,0.438462
100000,0.1,ascending,43,21,0.551282,0.514925
100000,0.1,ascending,43,21,0.367647,0.354839
100000,0.1,ascending,38,20,0.527778,0.561538
100000,0.1,ascending,41,20,0.518987,0.503448
100000,0.1,ascending,43,24,0.394366,0.366972
100000,0.1,ascending,41,20,0.460526,0.477273
100000,0.1,ascending,42,20,0.461538,0.467153
100000,0.1,ascending,48,23,0.351351,0.384615
100000,0.1,ascending,41,20,0.460526,0.446043
100000,0.1,ascending,49,22,0.430233,0.408163
100000,0.1,ascending,49,21,0.416667,0.445255
100000,0.1,ascending,36,19,0.5,0.492424
100000,0,descending,41,19,0.467532,0.456522
100000,0,descending,46,21,0.410256,0.411765
100000,0,descending,38,19,0.5,0.503497
100000,0,descending,39,20,0.506494,0.523438
100000,0,descending,41,20,0.539474,0.577586
100000,0,descending,41,20,0.569444,0.561983
100000,0,descending,38,20,0.535211,0.601695
100000,0,descending,39,20,0.52,0.532847
100000,0,descending,38,20,0.535211,0.557252
100000,0,descending,44,20,0.571429,0.6
100000,0,descending,41,20,0.539474,0.622951
100000,0,descending,43,22,0.767857,0.791667
100000,0,descending,40,19,0.547945,0.539007
100000,0,descending,42,20,0.468354,0.469388
100000,0,descending,39,20,0.4,0.383333
100000,0,descending,42,20,0.416667,0.422222
100000,0,descending,43,20,0.4625,0.465753
100000,0,descending,41,20,0.4875,0.535211
100000,0,descending,40,21,0.333333,0.345794
100000,0,descending,41,19,0.539474,0.524476
100000,0,descending,40,20,0.452055,0.458647
100000,0,descending,39,19,0.434783,0.450382
100000,0,descending,41,21,0.621212,0.619048
100000,0,descending,40,19,0.526316,0.528986
100000,0,descending,37,20,0.616667,0.634783
100000,0,descending,43,20,0.4625,0.389313
100000,0,descending,40,19,0.452055,0.463768
100000,0,descending,41,19,0.445946,0.45
100000,0,descending,42,20,0.591549,0.596774
100000,0,descending,37,19,0.506849,0.519084
100000,0,descending,40,19,0.533333,0.524138
100000,0,descending,41,21,0.481013,0.491379
100000,0,descending,44,20,0.536585,0.510067
100000,0,descending,39,19,0.534247,0.535714
100000,0,descending,39,20,0.465753,0.484848
100000,0,descending,40,19,0.533333,0.541667
100000,0,descending,36,19,0.514286,0.511278
100000,0,descending,37,19,0.544118,0.546154
100000,0,descending,37,19,0.521127,0.511278
100000,0,descending,44,21,0.676923,0.686957
100000,0,descending,41,20,0.430556,0.465116
100000,0,descending,39,19,0.48,0.47482
100000,0,descending,36,19,0.4375,0.393162
100000,0,descending,36,18,0.507042,0.507463
100000,0,descending,40,19,0.540541,0.547445
100000,0,descending,42,20,0.56,0.552239
100000,0,descending,44,20,0.428571,0.470149
100000,0,descending,38,20,0.520548,0.492647
100000,0,descending,39,20,0.573529,0.592
100000,0,descending,40,20,0.519481,0.540146
100000,0.01,descending,117,61,0.866667,0.802326
100000,0.01,descending,100,54,0.8,0.721893
100000,0.01,descending,101,53,0.789062,0.732919
100000,0.01,descending,106,51,0.815385,0.755814
100000,0.01,descending,112,53,0.8,0.712644
100000,0.01,descending,119,62,0.894737,0.847561
100000,0.01,descending,97,46,0.788618,0.72327
100000,0.01,descending,94,50,0.803419,0.834532
100000,0.01,descending,114,60,0.826087,0.761111
100000,0.01,descending,117,61,0.841727,0.772973
100000,0.01,descending,131,62,0.861842,0.846154
100000,0.01,descending,112,51,0.811594,0.755952
100000,0.01,descending,116,63,0.846715,0.791667
100000,0.01,descending,110,58,0.827068,0.75
